Viability,Smiles
113.28,CC(c1n[nH]c(-c2ccccc2)c1)N(C)C(C1=CC(C)=C(C)NC1=O)=O
96.62,CCC1=NOC(CNS(c2cc(C(NCC=C)=O)ccc2)(=O)=O)C1
72.72,CN(CC1)C2(CCNCC2)CN1C(c1coc(CN2CCOCC2)c1)=O
104.81,CN(C)C(N1Cc2cc(CNC(c(scc3)c3N)=O)nn2CCC1)=O
103.84,Cc1c(CC(N(Cc2cc(O)ccc2)C2CC2)=O)c2c(C)ccc(C)c2[nH]1
99.86,CCO[C@@H](COC1)[C@H]1NC(Nc1ccnn1-c1ccccc1)=O
93.1,CSCCN(CC1)CCN1C(c1cc(-c2c(CO)cccc2)ccc1)=O
79.25,CN1CCN(CCC(CCCC2)N2C(c(cn2)ncc2O)=O)CC1
131.62,O=C(NCc1cc2nonc2cc1)N1C(CCc2cccs2)CCCC1
105.68,CC(C)[C@@H](CN(Cc(cc1OCOc1c1)c1Cl)C1)[C@H]1NS(C)(=O)=O
90.2,Cc1cc(F)cc(-c2ncnc(N(C)C)c2)c1
96.7,Cc(ccc(C(NCCCn1nccc1C1CC1)=O)c1)c1N(CCN1)C1=O
103.32,CCC[C@@H](CN(C1)C(C2(CCCC2)c2ccccc2)=O)[C@H]1NC(C)=O
97.98,OCCN(CC1)CCN1C([C@H](CCC1)N1C1CCNCC1)=O
56.4,CN(Cc1cn(-c(cc2)ccc2F)nc1)C(c(cccc1)c1-n1cnnc1)=O
115.43,Cc1c(CC(NC(C2CC2)c2nccc(C)c2)=O)c(C)nn1-c1ccccc1
83.71,CCn1c(cccc2)c2nc1CN(C[C@@H]1C(C)C)C[C@@H]1NS(C)(=O)=O
98.73,Cc1c(CNC(C2(CCC2)c(cc2)ccc2Cl)=O)snn1
104.47,CC(C)(C)c1csc(CNC(c2c3OCCOc3cs2)=O)n1
106.17,Cc1nc(N(C)Cc2nocc2)c(Cc(cccc2)c2OC2)c2n1
66.25,CC(c1cc(CN(CCN2Cc3cc(C)c(C)cc3)CC2=O)cs1)=O
99.8,Cc1c2ncc(-c3ccc(C(C(O)=O)O)cc3)cc2ccc1
87.6,CC(C(N1)=O)=CN(CC(N(CCN2c3cccc(Cl)c3)CC2=O)=O)C1=O
72.78,CNc1nc(C(NCCc2noc(C3CCCC3)n2)=O)cs1
88.57,CCc1cc(N2CC(Cn3nccc3)OCCC2)ncn1
86.32,CCCc1n[nH]c(C(N(CC2)CCN2C(CC2)CS2(=O)=O)=O)c1
100.55,CCCn1ncc(C(N(CC2)CCN2C2CCCC2)=O)c1C
94.11,CCCn1ncc(S(N(C[C@H]2CC3)C[C@H]3[C@H]2N)(=O)=O)c1
98.37,CCCOCC(CC1)CN1C(c1cc(OC)ncc1)=O
100.12,Cc1nc2ccnn2c(N[C@@H]2[C@H](COC)CCC2)c1
28.61,CC1(CCC1)NC(NC(c(cc1)ccc1OC)c1ccncc1)=O
127.4,CC(C)c1cc(C(NC(CCCN2)C2=O)=O)cs1
132.29,Nc1cccnc1-c(cc1)ccc1C(NCCCN(CCC1)C1=O)=O
93.44,Cc1nn(CCCN(C2)C(Nc(cc3)cc(CCC4)c3N4C(OC)=O)=O)c2c1
6.41,Cc1cc(C)nn1-c(cc1)ccc1NC(C(CC1)CCN1c1ncnc(C)c1)=O
131.0,CC(C1C(NCc(cc2)cc3c2n(C)c(C)n3)=O)=C1c1ccccc1
94.75,O=C(C(CC1)CNC1=O)N(CCN1c(cccc2)c2-c2ccccc2)CC1=O
96.5,Cc1nc(O)cc(CNC(CC(c2ccccc2)c2cccc(Cl)c2)=O)n1
80.29,COCc1noc(CNC(N2CCCCCCC2)=O)n1
221.82,CCn1nc(-c2ccc(C(C)C)cc2)nc1N(C)C
85.53,Cc1c2nc(C)cc(NCc3noc(-c(cc4)ccc4OC)c3)n2nc1C
140.35,OC(Cn1nc(C2CN(Cc(cc3)cc(Cl)c3Cl)CCC2)cc1)=O
101.35,CC(C)c1nccc(CN2[C@@H](CS(C3)(=O)=O)[C@@H]3N(CC3CC3)CC2)n1
58.12,COc(ccc(-c1ncc(Cn2cncc2)cc1)c1)c1F
49.69,Cc1noc(C)c1C1N(Cc2cn(-c(cccc3)c3F)nc2)CCC1
97.59,O=C(CC1NCCOC1)N(CC1)CCC1(CC1)CN(CCCn2cncc2)C1=O
92.83,CC(C)c(cc1)ccc1N(CC(C1)C(N(C2)CC2c2ncccc2)=O)C1=O
74.57,CCc(nc1)ncc1C(NCCSc1nccn1C)=O
91.03,CCOCc1nn(Cc(cc2)ccc2Cl)c(C2(CC2)C(N)=O)n1
86.82,COc1cc(OC[C@](CO)(C2)[C@@H]3CN2C(Cc2cccs2)=O)c3cc1
71.61,CN(Cc1ccco1)Cc(cc(cc1)OC)c1-n1nccc1
98.14,CO[C@@]1(CC[C@@H](C2)OCCO)[C@H]2N(Cc2ccc(cccc3F)c3n2)CC1
102.41,CC(C)Cn1c(CNC(c2cn(-c(cccc3)c3OC)nc2)=O)cnc1
42.69,COCc1ccc(C(N(CC2)CCC2Oc2ncccn2)=O)s1
97.36,Cc(cc1)c(C)cc1-c1cccc(F)c1C(N)=O
102.04,CNC([C@H](C1)N(Cc2cscc2)C[C@@H]1NC(CCn1ncnc1)=O)=O
102.84,CN(C)C(N(CC1)CCC1C(N(CC1)CCC1n1cnnc1)=O)=O
81.44,CC(C)Nc1ncc(CN(CC2)CC=C2c(cc2)ccc2F)cn1
78.35,CCN(CC(c1cccc(O)c1)O)Cc1c2nc(C)cc(C)n2nc1
110.74,O=C(c1cn(cccn2)c2n1)N1C(CCc2ccccc2)CCCC1
103.84,CC(C)(CCc1cccc(C(N(CC2)C2c2cc(OC)ccc2)=O)c1)O
105.4,Cc1cccc(N2CCN(CCC(N(C)Cc3cscc3)=O)CC2)c1
91.91,OC[C@@H]1[C@H](CN2CCOCC2)CN(Cc2c[nH]nc2-c(cc2)ccc2F)C1
115.7,COC(c1cc(O)cc(C(N2CC(CN)CC2)=O)c1)=O
76.03,COc(cc1)ncc1-c1ncc(CN2CCOCC2)cc1
98.75,Cc1cc(C)nn1Cc1cccc(C(N(CC2O)Cc3c2cccc3)=O)c1
92.86,C(CN(CC1)[C@@H]2[C@H]1CNC2)COCc1ccccc1
70.35,COCCn1nnnc1C1OCCN(Cc2nc(cccc3)c3[nH]2)C1
92.78,Cc1ccnn1CCc1nc(C2COCC2)no1
115.4,COCc1cc(CNC(c(sc2cccc(F)c22)c2Cl)=O)n[nH]1
97.02,O=C(c1cnc(-c2cnccc2)nc1)N(C1)CC1c1cnccc1
58.39,Cc1noc(C)c1CCCNC(C1CCN(Cc2ccco2)CC1)=O
83.93,Cc1noc(C)c1C(N(CCC1)CC1(CC1)CN(Cc2ccncc2)C1=O)=O
89.9,Cc(cncc1)c1N(CCC1)CCN1C(C(CCN1c2ccccc2)C1=O)=O
158.47,CC(C)n1ncc(NC(NC(CC2)CN2C(OCc2ccccc2)=O)=O)c1
97.34,COCCc1noc(C2(CC2)c(cc2)ccc2F)n1
